SHOTN_ISIN,KOR_SECN_NM,ISSUCO_CUSTNO
104700,한국철강,14153
105560,KB금융지주,14254
105630,한세실업,14267
161000,애경케미칼,19198
161390,한국타이어앤테크놀로지,19237
161890,한국콜마,19283
163560,동일고무벨트,19432
168490,한국투자패러랠유전해외자원개발특별자산투자회사1호지분증권,19955
900140,엘브이엠씨홀딩스,90014
170900,동아에스티,20222
064350,현대로템,7893
079550,엘아이지넥스원,9575
00781K,코리아써키트2우,781
175330,JB금융지주,20657
180640,한진칼,21240
18064K,한진칼1우,21240
181710,엔에이치엔,21352
183190,아세아시멘트,21505
185750,종근당,21768
133820,화인베스틸,21442
027410,비지에프,2741
192080,더블유게임즈,22422
192820,코스맥스,22500
192400,쿠쿠홀딩스,22542
200880,서연이화,23332
112610,씨에스윈드,23663
178920,피아이첨단소재,23716
028260,삼성물산,2826
204320,에이치엘만도,23695
204210,스타에스엠자기관리부동산투자회사,24009
210540,디와이파워,24309
213500,한솔제지,24598
210980,에스케이디앤디,24659
214320,이노션,24963
214390,경보제약,24818
214330,금호에이치티,25003
214420,토니모리,24789
095570,에이제이네트웍스,12016
194370,제이에스코퍼레이션,22631
039570,에이치디씨랩스,11048
002690,동일제강,269
03473K,SK1우,4350
226320,잇츠한불,25909
02826K,삼성물산1우,2826
195870,해성디에스,25966
227840,현대코퍼레이션홀딩스,25984
234080,제이더블유생명과학,26588
004440,삼일씨엔에스,444
123890,한국자산신탁,15551
016740,두올,1674
092780,동양피스톤,11705
111110,호전실업,13925
229640,엘에스에코에너지,27081
241560,두산밥캣,28075
248170,샘표식품,27958
143210,핸즈코퍼레이션,5330
249420,일동제약,28140
207940,삼성바이오로직스,24058
241590,화승엔터프라이즈,27596
00088K,한화3우,88
251270,넷마블,28735
259960,크래프톤,29169
088260,이리츠코크렙기업구조조정부동산투자회사,11392
018250,애경산업,1825
264900,크라운제과(신설),29649
26490K,크라운제과(신설)1우,29649
267250,에이치디현대,29893
267260,에이치디현대일렉트릭,29890
267270,에이치디현대건설기계,29892
267290,경동도시가스(신설),29891
268280,미원스페셜티케미칼(신설),29970
271560,오리온,30268
271980,제일약품(신설),30372
267850,아시아나아이디티,30591
271940,일진하이솔루스,30350
272550,삼양패키징,30716
010400,우진아이엔에스,1040
272450,진에어,30955
278470,에이피알,31039
280360,롯데웰푸드,31184
00499K,롯데지주1우,499
282330,비지에프리테일(신설),31476
282690,동아타이어공업(신설),31414
281820,케이씨텍,31441
284740,쿠쿠홈시스,31694
285130,SK케미칼,31702
28513K,SK케미칼 1우,31702
338100,엔에이치프라임위탁관리부동산투자회사,36878
336260,두산퓨얼셀보통주,36725
33626K,두산퓨얼셀1우선주,36725
33626L,두산퓨얼셀2우선주(신형),36725
336370,솔루스첨단소재,36726
33637K,솔루스첨단소재1우,36726
33637L,솔루스첨단소재2우,36726
334890,이지스밸류플러스위탁관리부동산투자회사,36811
00279K,아모레퍼시픽그룹 3우,279
326030,SK바이오팜,36176
330590,롯데위탁관리부동산투자회사,36157
272210,한화시스템,11587
322000,에이치디현대에너지솔루션,35761
00104K,씨제이4우,104
317400,자이에스앤디(주),35442
308170,씨티알모빌리티,35028
316140,우리금융지주,34772
302440,에스케이바이오사이언스,33529
00806K,대덕1우,806
307950,현대오토에버,34351
248070,솔루엠,33854
298690,에어부산,33727
306200,세아제강(신설),33763
300720,한일시멘트(신설),33231
298000,효성화학,33008
298020,효성티앤씨,33003
298040,효성중공업,33004
298050,효성첨단소재,33007
192650,드림텍,32148
293940,신한알파위탁관리부동산투자회사,32917
294870,에이치디씨현대산업개발,32672
293480,하나제약,32689
00680K,미래에셋증권2우,680
286940,롯데이노베이트,31670
323410,카카오뱅크,29607
344820,케이씨씨글라스,37578
244920,에이플러스에셋어드바이저,27701
339770,교촌에프앤비,38230
348950,제이알글로벌위탁관리부동산투자회사,38031
350520,이지스레지던스위탁관리부동산투자회사,38157
352820,하이브,38385
353200,대덕전자,38438
35320K,대덕전자 1우,38438
009900,명신산업,990
357120,코람코라이프인프라위탁관리부동산투자회사,39084
357250,미래에셋맵스제1호위탁관리부동산투자회사,38838
357430,마스턴프리미어제1호위탁관리부동산투자회사,38953
363280,티와이홀딩스,39478
36328K,티와이홀딩스1우,39478
365550,이에스알켄달스퀘어위탁관리부동산투자회사,39643
137310,에스디바이오센서,16701
373220,엘지에너지솔루션,40545
375500,디엘이앤씨,40677
37550K,디엘이앤씨 1우,40677
372910,한컴라이프케어,40914
089860,롯데렌탈(주),10471
377740,바이오노트,41379
378850,화승알앤에이,41048
139990,아주스틸,17007
329180,에이치디현대중공업,35951
361610,에스케이아이이테크놀로지,35777
377300,카카오페이,41653
383220,에프앤에프(신설),41429
383800,엘엑스홀딩스,41679
38380K,엘엑스홀딩스1우,41679
377190,디앤디플랫폼위탁관리부동산투자회사,42533
402340,SK스퀘어,43727
395400,에스케이위탁관리부동산투자회사,42695
400760,엔에이치올원위탁관리부동산투자회사,43532
381970,케이카,42161
396690,미래에셋글로벌위탁관리부동산투자회사,42857
403550,쏘카,43962
404990,신한서부티엔디위탁관리부동산투자회사,43787
417310,코람코더원위탁관리부동산투자회사,44962
453340,현대그린푸드,48511
448730,삼성에프엔위탁관리부동산투자회사,48052
017860,디에스단석,1786
111380,동인기연,13873
454910,두산로보틱스,48861
475150,에스케이이터닉스,50741
450080,에코프로머티리얼즈,48173
37550L,디엘이앤씨2우,40677
062040,산일전기,7722
462520,조선내화,49429
092790,넥스틸,11701
443060,에이치디현대마린솔루션,50079
446070,유니드비티플러스,47889
432320,케이비스타위탁관리부동산투자회사,47089
452260,한화갤러리아,48521
45226K,한화갤러리아1우,48521
460850,동국씨엠,49191
460860,동국제강,49192
462870,시프트업,49799
487570,에이치에스효성,51705
465770,STX 그린로지스,49741
450140,코오롱모빌리티그룹,48313
45014K,코오롱모빌리티그룹1우,48313
456040,OCI,48800
457190,이수스페셜티케미컬,48967
481850,신한글로벌액티브위탁관리부동산투자회사,51263
451800,한화위탁관리부동산투자회사,48386
